1;105;oac;30;2;[(2,[]),(1,[4.0]),(3,[2.0]),(5,[8.0,8.1,9.4,10.0]),(6,[9.0,8.9,4.3,0.0]),(7,[2.0,9.4,5.4,3.0])].
2;102;eda;26;3;[(3,[]),(5,[8.1,9.4,10.0]),(6,[8.9,4.3,0.0]),(7,[9.4,5.4,3.0])].
3;102;leda;28;3;[(3,[3.0]),(2,[4.0,4.0,5.0,10.0]),(6,[5.0,8.9,4.3,0.0]),(7,[7.0,9.4,5.4,3.0])].
4;104;logica;30;2;[(3,[]),(6,[8.9,4.3,0.0])].
5;103;so;29;2;[(1,[5.0])].
6;107;ic;30;1;[(1,[])].
7;123;lp2;3;1;[(1,[])].
8;123;p2;30;3;[(3,[]),(2,[4.0,5.0,10.0])].
9;106;grafos;30;4;[(2,[4.0,5,10.0])].
10;101;loac;10;5;[].
11;107;ads;10;5;[].
